Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
1215,India,21,Odisha,373,Sundargarh,2021,Total,21878,21800,18419,20313,11545,1958,83,95996,89782,816,3925,1469,48090,17755,24160,5282,2499,1267,2171,3134,50443
1216,India,22,Chhattisgarh,374,Bastar,2021,Civil,768.8753582,533.0479353,200.7456575,91.60238742,16.56638921,0.974493483,0.974493483,1612.786715,1180.111608,109.1432701,0,323.5318364,448.2670022,414.1597303,597.3645052,97.44934831,111.0922571,114.0157375,276.7561492,157.8679443,676.2984773
1217,India,22,Chhattisgarh,374,Bastar,2021,Criminal,2902.041593,2274.46779,739.6405537,126.6841528,1.948986966,0,0,6044.783076,5754.384018,73.08701124,217.3120467,0,1845.690657,306.9654472,2091.263015,1796.965983,634.3952575,457.0374436,82.83194607,224.1335011,1926.573616
1248,India,22,Chhattisgarh,384,Korea,2021,Total,5078,3805,1583,335,9,1,0,10811,8010,2259,410,131,2674,246,5435,2432,733,826,399,841,4095
1249,India,22,Chhattisgarh,385,Mahasamund,2021,Civil,884,782,352,135,1,0,0,2154,1289,138,0,727,770,49,666,218,114,133,294,345,820
1250,India,22,Chhattisgarh,385,Mahasamund,2021,Criminal,5121,4928,2779,329,2,1,1,13161,12473,196,491,0,2944,131,8159,1809,985,1186,107,267,6321
1218,India,22,Chhattisgarh,374,Bastar,2021,Total,3670.916951,2807.515725,940.3862112,218.2865402,18.51537618,0.974493483,0.974493483,7657.569791,6934.495626,182.2302813,217.3120467,323.5318364,2293.957659,721.1251775,2688.62752,1894.415331,745.4875146,571.0531811,359.5880953,382.0014454,2602.872093
1219,India,22,Chhattisgarh,375,Bilaspur,2021,Civil,3944.60892,3365.46974,1322.326368,328.9245413,39.76921407,12.4278794,0.828525293,9014.355188,7308.42161,468.1167906,0,1236.988263,2971.920226,313.1825608,2931.322487,2738.276094,396.0350901,477.2305688,1406.007422,2211.334007,2659.566191
1220,India,22,Chhattisgarh,375,Bilaspur,2021,Criminal,11661.4935,9891.763474,4329.044656,1096.138963,28.16985996,10.77082881,0,27017.38128,24742.25083,369.5222807,1905.608174,0,7890.874891,763.0717949,12752.66131,5508.864674,3804.588146,5182.425708,289.9838526,1811.984816,8707.80083
1221,India,22,Chhattisgarh,375,Bilaspur,2021,Total,15606.10242,13257.23321,5651.371024,1425.063504,67.93907403,23.19870821,0.828525293,36031.73647,32050.67244,837.6390713,1905.608174,1236.988263,10862.79512,1076.254356,15683.9838,8247.140767,4200.623236,5659.656277,1695.991275,4023.318823,11367.36702
